drug_id,year_month,units_sold
DRG008,2024-01,10565
DRG009,2024-01,12183
DRG010,2024-01,40736
DRG011,2024-01,43568
DRG012,2024-01,19851
DRG001,2024-02,19149
DRG002,2024-02,22017
DRG003,2024-02,14951
DRG004,2024-02,31237
DRG005,2024-02,47860
DRG006,2024-02,29092
DRG007,2024-02,51789
DRG008,2024-02,9422
DRG009,2024-02,11515
DRG010,2024-02,38837
DRG011,2024-02,42744
DRG012,2024-02,19566
DRG001,2024-03,18875
DRG002,2024-03,21207
DRG003,2024-03,13240
DRG004,2024-03,29937
DRG005,2024-03,43356
DRG006,2024-03,27192
DRG007,2024-03,52334
DRG008,2024-03,9233
DRG009,2024-03,11484
DRG010,2024-03,39179
DRG011,2024-03,42354
DRG012,2024-03,18140
