drug_id,drug_name,therapeutic_area,quarter,event_year,event_quarter_num,total_reports,serious_pct,novel_pct,units_sold,reports_per_1k
DRG010,Falotrimab,Infectious,2020-Q1,2020,1,50,32.0,0.0,0.0,
DRG010,Falotrimab,Infectious,2020-Q2,2020,2,38,21.1,0.0,0.0,
DRG010,Falotrimab,Infectious,2020-Q3,2020,3,44,25.0,0.0,0.0,
DRG010,Falotrimab,Infectious,2020-Q4,2020,4,37,29.7,0.0,0.0,
DRG010,Falotrimab,Infectious,2021-Q1,2021,1,31,19.4,0.0,35617.0,0.87
DRG010,Falotrimab,Infectious,2021-Q2,2021,2,41,34.1,0.0,116755.0,0.35
DRG010,Falotrimab,Infectious,2021-Q3,2021,3,43,27.9,0.0,114500.0,0.38
DRG010,Falotrimab,Infectious,2021-Q4,2021,4,39,23.1,0.0,111244.0,0.35
DRG010,Falotrimab,Infectious,2022-Q1,2022,1,46,17.4,0.0,113305.0,0.41
DRG010,Falotrimab,Infectious,2022-Q2,2022,2,43,23.3,0.0,116356.0,0.37
DRG010,Falotrimab,Infectious,2022-Q3,2022,3,44,29.5,0.0,116535.0,0.38
DRG010,Falotrimab,Infectious,2022-Q4,2022,4,35,31.4,0.0,117192.0,0.3
DRG010,Falotrimab,Infectious,2023-Q1,2023,1,46,28.3,0.0,113432.0,0.41
DRG010,Falotrimab,Infectious,2023-Q2,2023,2,33,27.3,0.0,112611.0,0.29
DRG010,Falotrimab,Infectious,2023-Q3,2023,3,50,28.0,0.0,113582.0,0.44
DRG010,Falotrimab,Infectious,2023-Q4,2023,4,43,25.6,0.0,112277.0,0.38
DRG010,Falotrimab,Infectious,2024-Q1,2024,1,14,14.3,0.0,114826.0,0.12
DRG011,Relixanib,Autoimmune,2020-Q1,2020,1,37,29.7,0.0,124815.0,0.3
DRG011,Relixanib,Autoimmune,2020-Q2,2020,2,30,13.3,0.0,120142.0,0.25
DRG011,Relixanib,Autoimmune,2020-Q3,2020,3,38,26.3,0.0,125504.0,0.3
DRG011,Relixanib,Autoimmune,2020-Q4,2020,4,37,27.0,0.0,119838.0,0.31
DRG011,Relixanib,Autoimmune,2021-Q1,2021,1,41,14.6,0.0,118574.0,0.35
DRG011,Relixanib,Autoimmune,2021-Q2,2021,2,33,33.3,0.0,126530.0,0.26
DRG011,Relixanib,Autoimmune,2021-Q3,2021,3,42,28.6,0.0,125094.0,0.34
DRG011,Relixanib,Autoimmune,2021-Q4,2021,4,44,25.0,0.0,118639.0,0.37
DRG011,Relixanib,Autoimmune,2022-Q1,2022,1,36,19.4,0.0,124080.0,0.29
DRG011,Relixanib,Autoimmune,2022-Q2,2022,2,49,20.4,0.0,120513.0,0.41
DRG011,Relixanib,Autoimmune,2022-Q3,2022,3,29,17.2,0.0,127398.0,0.23
DRG011,Relixanib,Autoimmune,2022-Q4,2022,4,35,20.0,0.0,118210.0,0.3
DRG011,Relixanib,Autoimmune,2023-Q1,2023,1,34,26.5,0.0,124880.0,0.27
DRG011,Relixanib,Autoimmune,2023-Q2,2023,2,50,26.0,0.0,123975.0,0.4
DRG011,Relixanib,Autoimmune,2023-Q3,2023,3,38,21.1,0.0,116232.0,0.33
DRG011,Relixanib,Autoimmune,2023-Q4,2023,4,36,22.2,0.0,122329.0,0.29
DRG011,Relixanib,Autoimmune,2024-Q1,2024,1,25,40.0,0.0,121285.0,0.21
DRG012,Omnivectin,Autoimmune,2020-Q1,2020,1,39,35.9,0.0,0.0,
DRG012,Omnivectin,Autoimmune,2020-Q2,2020,2,47,19.1,0.0,39595.0,1.19
DRG012,Omnivectin,Autoimmune,2020-Q3,2020,3,42,16.7,0.0,56645.0,0.74
DRG012,Omnivectin,Autoimmune,2020-Q4,2020,4,45,22.2,0.0,58899.0,0.76
DRG012,Omnivectin,Autoimmune,2021-Q1,2021,1,42,14.3,0.0,58684.0,0.72
DRG012,Omnivectin,Autoimmune,2021-Q2,2021,2,42,19.0,0.0,56370.0,0.75
DRG012,Omnivectin,Autoimmune,2021-Q3,2021,3,42,23.8,0.0,60391.0,0.7
DRG012,Omnivectin,Autoimmune,2021-Q4,2021,4,34,17.6,0.0,60843.0,0.56
DRG012,Omnivectin,Autoimmune,2022-Q1,2022,1,27,22.2,0.0,61476.0,0.44
DRG012,Omnivectin,Autoimmune,2022-Q2,2022,2,41,24.4,0.0,60230.0,0.68
DRG012,Omnivectin,Autoimmune,2022-Q3,2022,3,32,31.3,0.0,60648.0,0.53
DRG012,Omnivectin,Autoimmune,2022-Q4,2022,4,35,25.7,0.0,56881.0,0.62
DRG012,Omnivectin,Autoimmune,2023-Q1,2023,1,30,36.7,0.0,59825.0,0.5
DRG012,Omnivectin,Autoimmune,2023-Q2,2023,2,40,15.0,0.0,56874.0,0.7
DRG012,Omnivectin,Autoimmune,2023-Q3,2023,3,42,16.7,0.0,56556.0,0.74
DRG012,Omnivectin,Autoimmune,2023-Q4,2023,4,29,24.1,0.0,56659.0,0.51
DRG012,Omnivectin,Autoimmune,2024-Q1,2024,1,15,33.3,0.0,58389.0,0.26
