drug_id,drug_name,therapeutic_area,quarter,reaction,is_novel_reaction,severity_bucket,reporter_type,country,age_group,report_count
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Critical,Pharmacist,FR,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Serious,Physician,US,18-44,1
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Critical,Pharmacist,US,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,Dyspnea,True,Serious,Pharmacist,DE,75+,1
DRG001,Veraximab,Oncology,2023-Q2,Dyspnea,True,Serious,Physician,JP,45-64,1
DRG001,Veraximab,Oncology,2023-Q2,Dyspnea,True,Serious,Consumer,CA,75+,1
DRG001,Veraximab,Oncology,2023-Q2,Fatigue,False,Mild,Pharmacist,JP,45-64,1
DRG001,Veraximab,Oncology,2023-Q2,Fatigue,False,Serious,Pharmacist,JP,75+,1
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Critical,Pharmacist,GB,45-64,1
DRG001,Veraximab,Oncology,2023-Q2,Dyspnea,True,Serious,Consumer,DE,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Critical,Pharmacist,JP,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,QT prolongation,True,Critical,Other,JP,18-44,1
DRG001,Veraximab,Oncology,2023-Q2,QT prolongation,True,Serious,Physician,CA,65-74,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Critical,Consumer,GB,45-64,2
DRG001,Veraximab,Oncology,2023-Q3,Hepatotoxicity,True,Serious,Consumer,US,75+,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Serious,Physician,DE,65-74,1
DRG001,Veraximab,Oncology,2023-Q3,Fatigue,False,Critical,Pharmacist,GB,18-44,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Moderate,Physician,CA,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,Hepatotoxicity,True,Critical,Physician,CA,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,Hepatotoxicity,True,Serious,Consumer,US,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,Hepatotoxicity,True,Critical,Consumer,CA,18-44,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Critical,Pharmacist,FR,65-74,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Critical,Physician,FR,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Critical,Physician,GB,75+,1
DRG001,Veraximab,Oncology,2023-Q3,Dyspnea,True,Critical,Consumer,DE,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,Hepatotoxicity,True,Critical,Physician,FR,18-44,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Critical,Consumer,CA,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Critical,Pharmacist,GB,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Critical,Physician,US,65-74,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Critical,Physician,CA,18-44,1
DRG001,Veraximab,Oncology,2023-Q3,Hepatotoxicity,True,Critical,Physician,GB,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Critical,Consumer,JP,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,Hepatotoxicity,True,Serious,Consumer,GB,75+,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Critical,Physician,FR,18-44,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Serious,Consumer,US,75+,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Critical,Pharmacist,JP,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,Hepatotoxicity,True,Serious,Pharmacist,DE,75+,1
DRG001,Veraximab,Oncology,2023-Q3,Dyspnea,True,Serious,Physician,DE,18-44,1
DRG001,Veraximab,Oncology,2023-Q3,Neutropenia,False,Critical,Physician,JP,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Serious,Consumer,DE,75+,1
DRG001,Veraximab,Oncology,2023-Q3,Hepatotoxicity,True,Critical,Consumer,US,65-74,1
DRG001,Veraximab,Oncology,2023-Q3,Neutropenia,False,Critical,Consumer,DE,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,Hepatotoxicity,True,Serious,Physician,US,75+,1
DRG001,Veraximab,Oncology,2023-Q3,Hepatotoxicity,True,Critical,Physician,US,18-44,1
DRG001,Veraximab,Oncology,2023-Q3,Dyspnea,True,Serious,Pharmacist,GB,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,Dyspnea,True,Critical,Physician,FR,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,Hepatotoxicity,True,Serious,Physician,GB,75+,1
DRG001,Veraximab,Oncology,2023-Q3,Hepatotoxicity,True,Serious,Other,GB,65-74,1
DRG001,Veraximab,Oncology,2023-Q3,QT prolongation,True,Critical,Physician,DE,65-74,1
DRG001,Veraximab,Oncology,2023-Q3,Alopecia,False,Serious,Other,CA,45-64,1
DRG001,Veraximab,Oncology,2023-Q3,Dyspnea,True,Critical,Consumer,FR,65-74,1
DRG001,Veraximab,Oncology,2023-Q3,Dyspnea,True,Critical,Pharmacist,DE,75+,1
DRG001,Veraximab,Oncology,2023-Q3,Hepatotoxicity,True,Serious,Consumer,CA,75+,1
DRG001,Veraximab,Oncology,2023-Q3,Dyspnea,True,Serious,Other,FR,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Critical,Pharmacist,FR,45-64,3
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Serious,Pharmacist,FR,65-74,2
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Critical,Pharmacist,JP,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Serious,Physician,CA,65-74,1
DRG001,Veraximab,Oncology,2023-Q4,Hepatotoxicity,True,Critical,Physician,DE,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,QT prolongation,True,Moderate,Consumer,JP,18-44,1
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Moderate,Other,GB,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Nausea,False,Critical,Other,DE,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Hepatotoxicity,True,Serious,Physician,FR,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Moderate,Pharmacist,FR,75+,1
DRG001,Veraximab,Oncology,2023-Q4,Hepatotoxicity,True,Serious,Physician,DE,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Serious,Other,GB,18-44,1
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Serious,Physician,JP,75+,1
DRG001,Veraximab,Oncology,2023-Q4,Hepatotoxicity,True,Mild,Other,DE,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Hepatotoxicity,True,Critical,Other,FR,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Hepatotoxicity,True,Critical,Consumer,FR,65-74,1
DRG001,Veraximab,Oncology,2023-Q4,QT prolongation,True,Serious,Pharmacist,CA,18-44,1
DRG001,Veraximab,Oncology,2023-Q4,Hepatotoxicity,True,Serious,Consumer,GB,18-44,1
DRG001,Veraximab,Oncology,2023-Q4,Hepatotoxicity,True,Critical,Pharmacist,FR,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,QT prolongation,True,Critical,Physician,CA,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Fatigue,False,Critical,Physician,JP,65-74,1
DRG001,Veraximab,Oncology,2023-Q4,Hepatotoxicity,True,Critical,Physician,US,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Serious,Physician,JP,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Hepatotoxicity,True,Serious,Physician,DE,18-44,1
DRG001,Veraximab,Oncology,2023-Q4,QT prolongation,True,Mild,Consumer,FR,65-74,1
DRG001,Veraximab,Oncology,2023-Q4,QT prolongation,True,Critical,Consumer,CA,75+,1
DRG001,Veraximab,Oncology,2023-Q4,QT prolongation,True,Serious,Pharmacist,US,65-74,1
DRG001,Veraximab,Oncology,2023-Q4,Alopecia,False,Critical,Physician,FR,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Serious,Other,CA,65-74,1
DRG001,Veraximab,Oncology,2023-Q4,Fatigue,False,Critical,Pharmacist,US,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Moderate,Other,CA,65-74,1
DRG001,Veraximab,Oncology,2023-Q4,QT prolongation,True,Serious,Physician,US,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Critical,Consumer,DE,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,QT prolongation,True,Serious,Pharmacist,DE,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Neutropenia,False,Serious,Pharmacist,DE,75+,1
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Mild,Consumer,GB,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Nausea,False,Critical,Physician,US,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Hepatotoxicity,True,Critical,Physician,CA,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,QT prolongation,True,Serious,Pharmacist,US,45-64,1
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Serious,Physician,JP,65-74,1
DRG001,Veraximab,Oncology,2023-Q4,Hepatotoxicity,True,Critical,Physician,CA,18-44,1
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Serious,Consumer,FR,18-44,1
DRG001,Veraximab,Oncology,2023-Q4,Hepatotoxicity,True,Critical,Physician,US,65-74,1
DRG001,Veraximab,Oncology,2023-Q4,QT prolongation,True,Critical,Consumer,CA,65-74,1
DRG001,Veraximab,Oncology,2023-Q4,Dyspnea,True,Critical,Physician,GB,45-64,1
DRG001,Veraximab,Oncology,2024-Q1,Dyspnea,True,Critical,Consumer,FR,75+,1
DRG001,Veraximab,Oncology,2024-Q1,Hepatotoxicity,True,Serious,Physician,GB,18-44,1
DRG001,Veraximab,Oncology,2024-Q1,QT prolongation,True,Serious,Consumer,CA,65-74,1
DRG001,Veraximab,Oncology,2024-Q1,QT prolongation,True,Critical,Physician,DE,45-64,1
DRG001,Veraximab,Oncology,2024-Q1,QT prolongation,True,Critical,Physician,FR,65-74,1
DRG001,Veraximab,Oncology,2024-Q1,Dyspnea,True,Critical,Physician,FR,45-64,1
DRG001,Veraximab,Oncology,2024-Q1,QT prolongation,True,Critical,Physician,DE,18-44,1
DRG001,Veraximab,Oncology,2024-Q1,QT prolongation,True,Moderate,Consumer,JP,18-44,1
DRG001,Veraximab,Oncology,2024-Q1,Hepatotoxicity,True,Critical,Consumer,GB,45-64,1
DRG001,Veraximab,Oncology,2024-Q1,Alopecia,False,Moderate,Physician,CA,75+,1
DRG001,Veraximab,Oncology,2024-Q1,Hepatotoxicity,True,Serious,Physician,JP,45-64,1
DRG001,Veraximab,Oncology,2024-Q1,Hepatotoxicity,True,Serious,Physician,US,45-64,1
DRG001,Veraximab,Oncology,2024-Q1,Dyspnea,True,Serious,Physician,JP,18-44,1
DRG001,Veraximab,Oncology,2024-Q1,QT prolongation,True,Serious,Physician,DE,65-74,1
DRG001,Veraximab,Oncology,2024-Q1,Hepatotoxicity,True,Critical,Consumer,US,45-64,1
DRG001,Veraximab,Oncology,2024-Q1,QT prolongation,True,Serious,Physician,CA,18-44,1
DRG001,Veraximab,Oncology,2024-Q1,Neutropenia,False,Serious,Pharmacist,DE,45-64,1
DRG001,Veraximab,Oncology,2024-Q1,Hepatotoxicity,True,Serious,Other,GB,75+,1
DRG002,Loretinib,Oncology,2023-Q2,Neutropenia,False,Moderate,Consumer,DE,75+,2
DRG002,Loretinib,Oncology,2023-Q2,Alopecia,False,Moderate,Consumer,US,75+,1
DRG002,Loretinib,Oncology,2023-Q2,Fatigue,False,Moderate,Pharmacist,DE,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Fatigue,False,Moderate,Other,JP,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Alopecia,False,Critical,Consumer,FR,18-44,1
DRG002,Loretinib,Oncology,2023-Q2,Neutropenia,False,Serious,Pharmacist,FR,65-74,1
DRG002,Loretinib,Oncology,2023-Q2,Fatigue,False,Moderate,Consumer,CA,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Neutropenia,False,Mild,Physician,DE,18-44,1
DRG002,Loretinib,Oncology,2023-Q2,Neutropenia,False,Moderate,Consumer,US,75+,1
DRG002,Loretinib,Oncology,2023-Q2,Alopecia,False,Mild,Pharmacist,FR,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Nausea,False,Mild,Consumer,DE,65-74,1
DRG002,Loretinib,Oncology,2023-Q2,Fatigue,False,Critical,Consumer,US,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Alopecia,False,Moderate,Physician,DE,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Fatigue,False,Mild,Consumer,DE,18-44,1
DRG002,Loretinib,Oncology,2023-Q2,Fatigue,False,Moderate,Physician,US,75+,1
DRG002,Loretinib,Oncology,2023-Q2,Neutropenia,False,Mild,Consumer,CA,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Alopecia,False,Mild,Other,DE,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Neutropenia,False,Moderate,Physician,GB,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Nausea,False,Moderate,Consumer,GB,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Alopecia,False,Serious,Other,GB,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Fatigue,False,Mild,Consumer,FR,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Alopecia,False,Mild,Physician,CA,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Nausea,False,Moderate,Consumer,DE,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Alopecia,False,Serious,Other,CA,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Neutropenia,False,Moderate,Consumer,US,18-44,1
DRG002,Loretinib,Oncology,2023-Q2,Fatigue,False,Moderate,Pharmacist,GB,65-74,1
DRG002,Loretinib,Oncology,2023-Q2,Nausea,False,Moderate,Pharmacist,US,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Fatigue,False,Critical,Pharmacist,US,75+,1
DRG002,Loretinib,Oncology,2023-Q2,Alopecia,False,Mild,Physician,DE,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Nausea,False,Mild,Consumer,FR,65-74,1
DRG002,Loretinib,Oncology,2023-Q2,Alopecia,False,Moderate,Pharmacist,US,65-74,1
DRG002,Loretinib,Oncology,2023-Q2,Nausea,False,Mild,Pharmacist,US,75+,1
DRG002,Loretinib,Oncology,2023-Q2,Alopecia,False,Moderate,Consumer,CA,65-74,1
DRG002,Loretinib,Oncology,2023-Q2,Neutropenia,False,Moderate,Pharmacist,GB,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Nausea,False,Mild,Physician,DE,65-74,1
DRG002,Loretinib,Oncology,2023-Q2,Alopecia,False,Moderate,Pharmacist,JP,65-74,1
DRG002,Loretinib,Oncology,2023-Q2,Nausea,False,Mild,Physician,CA,65-74,1
DRG002,Loretinib,Oncology,2023-Q2,Fatigue,False,Moderate,Other,GB,45-64,1
DRG002,Loretinib,Oncology,2023-Q2,Alopecia,False,Mild,Consumer,GB,65-74,1
DRG002,Loretinib,Oncology,2023-Q2,Fatigue,False,Mild,Consumer,JP,65-74,1
DRG002,Loretinib,Oncology,2023-Q2,Fatigue,False,Mild,Pharmacist,GB,65-74,1
DRG002,Loretinib,Oncology,2023-Q2,Nausea,False,Serious,Physician,JP,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Mild,Consumer,DE,45-64,2
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Mild,Physician,DE,18-44,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Moderate,Pharmacist,DE,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Neutropenia,False,Moderate,Physician,GB,18-44,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Moderate,Other,FR,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Mild,Physician,DE,75+,1
DRG002,Loretinib,Oncology,2023-Q3,Fatigue,False,Critical,Consumer,JP,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Alopecia,False,Mild,Pharmacist,GB,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Alopecia,False,Mild,Pharmacist,GB,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Neutropenia,False,Serious,Physician,CA,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Serious,Physician,GB,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Fatigue,False,Moderate,Consumer,GB,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Neutropenia,False,Mild,Physician,DE,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Moderate,Physician,GB,18-44,1
DRG002,Loretinib,Oncology,2023-Q3,Fatigue,False,Serious,Physician,US,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Fatigue,False,Mild,Physician,CA,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Alopecia,False,Mild,Physician,DE,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Alopecia,False,Critical,Other,US,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Neutropenia,False,Mild,Physician,JP,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Moderate,Consumer,US,75+,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Moderate,Physician,CA,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Alopecia,False,Critical,Physician,GB,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Fatigue,False,Moderate,Physician,GB,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Fatigue,False,Mild,Pharmacist,DE,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Neutropenia,False,Mild,Consumer,DE,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Neutropenia,False,Moderate,Physician,DE,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Mild,Pharmacist,FR,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Alopecia,False,Mild,Pharmacist,DE,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Alopecia,False,Mild,Other,JP,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Alopecia,False,Serious,Other,CA,18-44,1
DRG002,Loretinib,Oncology,2023-Q3,Neutropenia,False,Moderate,Other,DE,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Neutropenia,False,Moderate,Physician,JP,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Alopecia,False,Mild,Physician,JP,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Moderate,Consumer,US,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Mild,Pharmacist,JP,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Mild,Consumer,DE,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Fatigue,False,Mild,Pharmacist,GB,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Moderate,Consumer,CA,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Neutropenia,False,Moderate,Other,US,65-74,1
DRG002,Loretinib,Oncology,2023-Q3,Neutropenia,False,Critical,Pharmacist,FR,75+,1
DRG002,Loretinib,Oncology,2023-Q3,Alopecia,False,Mild,Physician,GB,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Mild,Physician,US,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Moderate,Physician,JP,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Fatigue,False,Mild,Consumer,CA,45-64,1
DRG002,Loretinib,Oncology,2023-Q3,Fatigue,False,Mild,Pharmacist,JP,18-44,1
DRG002,Loretinib,Oncology,2023-Q3,Nausea,False,Mild,Consumer,JP,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Fatigue,False,Moderate,Physician,DE,65-74,1
DRG002,Loretinib,Oncology,2023-Q4,Neutropenia,False,Serious,Pharmacist,CA,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Fatigue,False,Mild,Other,CA,65-74,1
DRG002,Loretinib,Oncology,2023-Q4,Alopecia,False,Moderate,Physician,US,18-44,1
DRG002,Loretinib,Oncology,2023-Q4,Neutropenia,False,Moderate,Other,DE,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Neutropenia,False,Mild,Physician,FR,65-74,1
DRG002,Loretinib,Oncology,2023-Q4,Nausea,False,Moderate,Physician,JP,65-74,1
DRG002,Loretinib,Oncology,2023-Q4,Neutropenia,False,Moderate,Other,US,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Fatigue,False,Mild,Physician,JP,75+,1
DRG002,Loretinib,Oncology,2023-Q4,Fatigue,False,Moderate,Consumer,JP,65-74,1
DRG002,Loretinib,Oncology,2023-Q4,Nausea,False,Moderate,Consumer,CA,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Nausea,False,Critical,Physician,US,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Nausea,False,Mild,Consumer,CA,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Fatigue,False,Mild,Other,DE,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Neutropenia,False,Critical,Consumer,DE,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Nausea,False,Mild,Consumer,JP,65-74,1
DRG002,Loretinib,Oncology,2023-Q4,Nausea,False,Moderate,Physician,US,65-74,1
DRG002,Loretinib,Oncology,2023-Q4,Alopecia,False,Serious,Physician,FR,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Nausea,False,Mild,Pharmacist,US,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Neutropenia,False,Critical,Consumer,US,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Alopecia,False,Serious,Physician,GB,18-44,1
DRG002,Loretinib,Oncology,2023-Q4,Fatigue,False,Moderate,Consumer,GB,65-74,1
DRG002,Loretinib,Oncology,2023-Q4,Alopecia,False,Critical,Pharmacist,GB,65-74,1
DRG002,Loretinib,Oncology,2023-Q4,Fatigue,False,Serious,Physician,CA,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Nausea,False,Moderate,Consumer,JP,75+,1
DRG002,Loretinib,Oncology,2023-Q4,Alopecia,False,Mild,Physician,DE,65-74,1
DRG002,Loretinib,Oncology,2023-Q4,Neutropenia,False,Critical,Physician,JP,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Nausea,False,Mild,Physician,US,18-44,1
DRG002,Loretinib,Oncology,2023-Q4,Alopecia,False,Moderate,Pharmacist,CA,18-44,1
DRG002,Loretinib,Oncology,2023-Q4,Fatigue,False,Mild,Pharmacist,JP,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Neutropenia,False,Mild,Physician,JP,65-74,1
DRG002,Loretinib,Oncology,2023-Q4,Nausea,False,Serious,Consumer,CA,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Alopecia,False,Mild,Consumer,FR,75+,1
DRG002,Loretinib,Oncology,2023-Q4,Fatigue,False,Critical,Pharmacist,GB,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Fatigue,False,Critical,Pharmacist,CA,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Neutropenia,False,Mild,Pharmacist,CA,45-64,1
DRG002,Loretinib,Oncology,2023-Q4,Alopecia,False,Moderate,Physician,DE,18-44,1
DRG002,Loretinib,Oncology,2023-Q4,Neutropenia,False,Mild,Consumer,GB,18-44,1
DRG002,Loretinib,Oncology,2024-Q1,Alopecia,False,Mild,Physician,US,45-64,1
DRG002,Loretinib,Oncology,2024-Q1,Nausea,False,Moderate,Consumer,US,75+,1
DRG002,Loretinib,Oncology,2024-Q1,Nausea,False,Moderate,Pharmacist,CA,18-44,1
DRG002,Loretinib,Oncology,2024-Q1,Neutropenia,False,Serious,Consumer,DE,75+,1
DRG002,Loretinib,Oncology,2024-Q1,Alopecia,False,Mild,Pharmacist,CA,45-64,1
DRG002,Loretinib,Oncology,2024-Q1,Neutropenia,False,Critical,Consumer,CA,65-74,1
DRG002,Loretinib,Oncology,2024-Q1,Nausea,False,Mild,Physician,CA,75+,1
DRG002,Loretinib,Oncology,2024-Q1,Alopecia,False,Mild,Consumer,US,65-74,1
DRG002,Loretinib,Oncology,2024-Q1,Neutropenia,False,Critical,Pharmacist,CA,75+,1
